iter	RMSE
190	9.643712269
191	9.634389812
192	9.626703989
193	9.620057349
194	9.613772365
195	9.602464102
196	9.592642822
197	9.580671126
198	9.571627273
199	9.56489642
200	9.560853645
201	9.554437265
202	9.549012794
203	9.544154578
204	9.539246882
205	9.533378565
206	9.526188378
207	9.520100091
208	9.515015437
209	9.508117696
210	9.500427492
211	9.496169292
212	9.486741306
213	9.47982943
214	9.473909771
215	9.464950442
216	9.45682668
217	9.452718533
218	9.442828352
219	9.434115264
220	9.429029116
221	9.420132437
222	9.414303732
223	9.407626967
224	9.400640292
225	9.390066667
226	9.385326535
227	9.370544228
228	9.366445353
229	9.357434753
230	9.352742352
231	9.348400675
232	9.343412731
233	9.337163124
234	9.328529038
235	9.321873015
236	9.316219155
237	9.312390249
238	9.307239704
239	9.297916285
240	9.291631702
241	9.286692195
242	9.282367268
243	9.279191666
244	9.273585017
245	9.269491317
246	9.260298056
247	9.25080281
248	9.243721201
249	9.239696125
250	9.233883171
251	9.226210691
252	9.217980727
253	9.212457485
254	9.208437305
255	9.204435318
256	9.199512851
257	9.193209687
258	9.186803161
259	9.183200398
260	9.177289813
261	9.168419873
262	9.161540347
263	9.155653812
264	9.152329301
265	9.14865151
266	9.141670539
267	9.137848658
268	9.131564448
269	9.127796647
270	9.124403766
271	9.12056475
272	9.116566143
273	9.109395866
274	9.098950199
275	9.09366283
276	9.087708988
277	9.082627115
278	9.075372448
279	9.071358841
280	9.063592922
281	9.058817868
282	9.054612646
283	9.050012178
284	9.044921621
285	9.039740214
286	9.027882088
287	9.022817212
288	9.019161972
289	9.011547519
290	9.006808533
291	9.003160875
292	8.995830208
293	8.992488595
294	8.986306023
295	8.98173386
296	8.978920653
297	8.975258823
298	8.966373334
299	8.960732862
300	8.956206321
301	8.949973783
302	8.944784628
303	8.94092518
304	8.93768444
305	8.933663346
306	8.929675822
307	8.926347059
308	8.924730654
309	8.919619693
310	8.916991599
311	8.911792795
312	8.905344811
313	8.901461606
314	8.896019133
315	8.891727308
316	8.880909518
317	8.877624597
318	8.874322101
319	8.870528976
320	8.864024541
321	8.860723411
322	8.855496982
323	8.852104429
324	8.847287236
325	8.843519735
326	8.838218745
327	8.833035772
328	8.828420058
329	8.82282822
330	8.815310922
331	8.809218627
332	8.80384458
333	8.800518835
334	8.79692941
335	8.791777255
336	8.788895686
337	8.784132181
338	8.781420159
339	8.778019947
340	8.768413287
341	8.765729452
342	8.759081141
343	8.756903432
344	8.752917045
345	8.750300683
346	8.7445889
347	8.740533766
348	8.735801621
349	8.730087722
350	8.727464228
351	8.723881987
352	8.721371819
353	8.717186968
354	8.711612332
355	8.706894201
356	8.704509694
357	8.697487659
358	8.69221553
359	8.687577574
360	8.683122038
361	8.673674821
362	8.671399648
363	8.668003787
364	8.664622493
365	8.658512604
366	8.651948059
367	8.648131908
368	8.643480312
369	8.639885211
370	8.636244991
371	8.632886694
372	8.628710626
373	8.625866889
374	8.622526524
375	8.618609772
376	8.614494797
377	8.60916317
378	8.60532428
379	8.603521704
380	8.597601412
381	8.594499605
382	8.589947801
383	8.58827676
384	8.585482586
385	8.581743212
386	8.573114676
387	8.568305953
388	8.560627684
389	8.557690869
390	8.554710162
391	8.550210626
392	8.545397143
393	8.542480297
394	8.539524038
395	8.535200483
396	8.531214099
397	8.526576524
398	8.520473732
399	8.516848087
400	8.513978725
401	8.509597451
402	8.506491472
403	8.502063607
404	8.49845251
405	8.493817003
406	8.490723258
407	8.487734978
408	8.485486041
409	8.483001968
410	8.478088797
411	8.475841892
412	8.471663072
413	8.467985405
414	8.463360662
415	8.459852356
416	8.456913971
417	8.453589587
418	8.451647879
419	8.446564009
420	8.444964439
421	8.441189175
422	8.437773842
423	8.435459807
424	8.432477705
425	8.427325072
426	8.423259887
427	8.415509069
428	8.413570857
429	8.411661948
430	8.407454129
431	8.404498948
432	8.396689924
433	8.393935559
434	8.390039811
435	8.385753803
436	8.381951269
437	8.376334977
438	8.372377697
439	8.369509543
440	8.366464035
441	8.364106253
442	8.358825775
443	8.356139905
444	8.35296975
445	8.348290334
446	8.346081027
447	8.342775881
448	8.338336362
449	8.336099645
450	8.333557014
451	8.331293757
452	8.328962454
453	8.325476515
454	8.321902815
455	8.318558818
456	8.31387943
457	8.311084008
458	8.309283808
459	8.305147775
460	8.303674235
461	8.302139412
462	8.298619177
463	8.293395726
464	8.29086039
465	8.287541863
466	8.283801846
467	8.28137041
468	8.278014936
469	8.27533835
470	8.271333838
471	8.266682632
472	8.260793088
473	8.259437921
474	8.256940152
475	8.254566815
476	8.25315915
477	8.250999706
478	8.247596018
479	8.245630328
480	8.243310402
481	8.240668906
482	8.236832456
483	8.232356878
484	8.22888173
485	8.22681698
486	8.224450144
487	8.221517722
488	8.216081833
489	8.214948728
490	8.211454869
491	8.209903705
492	8.206820307
493	8.205063687
494	8.203068921
495	8.200694582
496	8.199312844
497	8.197689819
498	8.194697604
499	8.190407405
